Column,System,Block,Channel,Velocity,Salinity,Temperature,treatments,Phase,surf_area
1.0,IMP,B1,C05,normal,background,increased,NBI,stress,18.0
2.0,IMP,B1,C06,reduced,background,increased,RBI,stress,15.75
3.0,IMP,B1,C07,normal,background,increased,NBI,stress,18.0
4.0,IMP,B1,C08,reduced,salt,increased,RSI,stress,13.5
5.0,IMP,B1,C10,reduced,background,increased,RBI,stress,13.5
6.0,IMP,B1,C11,reduced,salt,increased,RSI,stress,20.0
7.0,IMP,B1,C13,normal,salt,increased,NSI,stress,24.0
8.0,IMP,B1,C15,normal,salt,increased,NSI,stress,28.0
9.0,IMP,B2,C17,reduced,salt,normal,RSN,stress,20.0
10.0,IMP,B2,C21,normal,background,normal,NBN,stress,19.2
11.0,IMP,B2,C23,normal,background,normal,NBN,stress,25.0
12.0,IMP,B2,C24,reduced,salt,normal,RSN,stress,20.0
13.0,IMP,B2,C25,normal,salt,normal,NSN,stress,14.0
14.0,IMP,B2,C26,normal,salt,normal,NSN,stress,20.0
15.0,IMP,B2,C28,reduced,background,normal,RBN,stress,20.0
16.0,IMP,B2,C30,reduced,background,normal,RBN,stress,18.0
17.0,IMP,B3,C33,reduced,background,normal,RBN,stress,20.0
18.0,IMP,B3,C35,normal,background,normal,NBN,stress,24.0
19.0,IMP,B3,C38,normal,salt,normal,NSN,stress,16.0
20.0,IMP,B3,C39,reduced,background,normal,RBN,stress,20.0
21.0,IMP,B3,C40,reduced,salt,normal,RSN,stress,16.0
22.0,IMP,B3,C43,normal,background,normal,NBN,stress,20.0
23.0,IMP,B3,C47,normal,salt,normal,NSN,stress,20.0
24.0,IMP,B3,C48,reduced,salt,normal,RSN,stress,16.0
25.0,IMP,B4,C49,normal,salt,increased,NSI,stress,20.0
26.0,IMP,B4,C50,reduced,salt,increased,RSI,stress,20.0
27.0,IMP,B4,C51,normal,salt,increased,NSI,stress,20.8
28.0,IMP,B4,C56,reduced,background,increased,RBI,stress,21.2
29.0,IMP,B4,C59,reduced,background,increased,RBI,stress,24.0
30.0,IMP,B4,C61,reduced,salt,increased,RSI,stress,28.0
31.0,IMP,B4,C62,normal,background,increased,NBI,stress,22.0
32.0,IMP,B4,C63,normal,background,increased,NBI,stress,19.2
33.0,IMP,B1,C01,reduced,background,increased,RBI,recovery,16.8
34.0,IMP,B1,C02,reduced,salt,increased,RSI,recovery,15.96
35.0,IMP,B1,C03,reduced,salt,increased,RSI,recovery,14.04
36.0,IMP,B1,C04,normal,background,increased,NBI,recovery,17.1
37.0,IMP,B1,C09,normal,background,increased,NBI,recovery,16.0
38.0,IMP,B1,C12,reduced,background,increased,RBI,recovery,12.54
39.0,IMP,B1,C14,normal,salt,increased,NSI,recovery,11.88
40.0,IMP,B1,C16,normal,salt,increased,NSI,recovery,15.99
41.0,IMP,B2,C18,normal,background,normal,NBN,recovery,12.09
42.0,IMP,B2,C19,normal,background,normal,NBN,recovery,15.6
43.0,IMP,B2,C20,reduced,salt,normal,RSN,recovery,13.3
44.0,IMP,B2,C22,reduced,background,normal,RBN,recovery,14.62
45.0,IMP,B2,C27,normal,salt,normal,NSN,recovery,12.6
46.0,IMP,B2,C29,reduced,background,normal,RBN,recovery,12.48
47.0,IMP,B2,C31,normal,salt,normal,NSN,recovery,12.6
48.0,IMP,B2,C32,reduced,salt,normal,RSN,recovery,12.54
49.0,IMP,B3,C34,reduced,background,normal,RBN,recovery,13.6
50.0,IMP,B3,C36,normal,salt,normal,NSN,recovery,12.6
51.0,IMP,B3,C37,normal,background,normal,NBN,recovery,14.28
52.0,IMP,B3,C41,reduced,salt,normal,RSN,recovery,14.82
53.0,IMP,B3,C42,normal,background,normal,NBN,recovery,14.43
54.0,IMP,B3,C44,normal,salt,normal,NSN,recovery,15.75
55.0,IMP,B3,C45,reduced,background,normal,RBN,recovery,14.82
56.0,IMP,B3,C46,reduced,salt,normal,RSN,recovery,14.0
57.0,IMP,B4,C52,normal,background,increased,NBI,recovery,15.2
58.0,IMP,B4,C53,normal,salt,increased,NSI,recovery,16.4
59.0,IMP,B4,C54,normal,background,increased,NBI,recovery,16.0
60.0,IMP,B4,C55,reduced,background,increased,RBI,recovery,15.2
61.0,IMP,B4,C57,reduced,background,increased,RBI,recovery,18.29
62.0,IMP,B4,C58,reduced,salt,increased,RSI,recovery,15.2
63.0,IMP,B4,C60,normal,salt,increased,NSI,recovery,14.82
64.0,IMP,B4,C64,reduced,salt,increased,RSI,recovery,23.2
